Reference,Value,Ref Mouser,Ref Radiospares,Ref Fabricant,Fabricant,Datasheet,Footprint,Qty,DNP
"C1,C13",10nF,710-885382207009,,885382207009,Wurth Elektronik,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,
C2,4.7nF,710-885342207009,,885342207009,Wurth Elektronik,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,
"C3,C4,C5,C6,C7,C10,C11,C18,C20,C22,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46",100nF,710-885012207045,,885012207045,Wurth Elektronik,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,27,
"C8,C17,C19,C21",10µF,187-CL21A106KOQNNNE,,CL21A106KOQNNNE,Samsung Electro-Mechanics,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,
"C9,C12",1µF,187-CL21B105KOFNNNF,,CL21B105KOFNNNF,Samsung Electro-Mechanics,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,
"C14,C15",47pF,710-885012007014,,885012007014,Wurth Elektronik,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,
C16,10nf,710-885382207009,,885382207009,Wurth Elektronik,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,
"D1,D2,D4,D5,D6,D7",LED,710-150080SS75000,,150080SS75000,Wurth Elektronik,~,LED_SMD:LED_0805_2012Metric,6,
D9,BAT54SFILMY,511-BAT54SFILMY,,BAT54SFILMY,STMicroelectronics,https://www.diodes.com/assets/Datasheets/ds11005.pdf,Package_TO_SOT_SMD:SOT-23,1,
FB1,FerriteBead_Small,791-WLFM201209M1R0PP,,WLFM201209M1R0PP,Walsin,~,Inductor_SMD:L_Walsin_WLFM201209x,1,
J1,USB_C_Receptacle_USB2.0_14P,640-USB4105-GF-A,,USB4105-GF-A,GCT,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,
J2,JST-XH_S2B-XH-A,306-S2B-XH-ALFSN,820-1582,S2B-XH-A(LF)(SN),JST,~,Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,
J3,FTSH-105-01-L-DV-007,200-SH10501LDV007KTR,,FTSH-105-01-L-DV-007-K-TR,Samtec,,FTSH-105-01-L-DV-007-K:SAMTEC_FTSH-105-X-X-DV-007-P-X,1,
"J4,J5,J6,J7,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J23,J24,J25",JST_PH_B4B,B4B-PH-K(LF)(SN),820-1434P,B4B-PH-K-S(LF)(SN),JST,~,Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,17,
"J8,J9",TSW-104-07-G-T,200-TSW10407GT,,TSW-104-07-G-T,Samtec,,TSW-104-07-G-T:SAMTEC_TSW-104-07-G-T,2,
J20,Conn_02x08_Odd_Even,640-BG040-14A0453NG,,BG040-14-A-0450-0300-N-G,GCT,~,Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical,1,
J22,JST_PH_B6B,306-B6BPHKLFSNP,,B6B-PH-K(LF)(SN),JST,~,Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,
J26,JST-PH-B2B,306-S2BPHKSLFSNPP,820-1494P,S2B-PH-K-S(LF)(SN),JST,~,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,
J27,JST_PH_B5B,306-B5BPHKSLFSNP,820-1438,B5B-PH-K-S(LF)(SN),JST,~,Connector_JST:JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,
"R1,R2,R72",10K,652-CR0805-JW-103ELF,,CR0805-JW-103ELF,Bourns,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,
"R3,R4,R73,R74,R75",5.1K,652-CR0805JW-512ELF,,CR0805-JW-512ELF,Bourns,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5,
"R5,R6",27R,603-RC0805FR-1327RL,,RC0805FR-1327RL,YAGEO,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,
"R7,R8,R28,R29,R30,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71",1K,652-CR0805FX-1001ELF,,CR0805-FX-1001ELF,Bourns,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,23,
"R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R31,R32,R33,R34,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53",100R,652-CR0805JW-101ELF,,CR0805-JW-101ELF,Bourns,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,41,
R35,120R,652-CR0805FX-1200ELF,,CR0805-FX-1200ELF,Bourns,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,
"SW1,SW2",SW_Push,653-B3F-1000,,B3F-1000,Omron Electronics,~,Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx,2,
